Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
37613;40.300,00 €;nd;nd
CSE665R1;40.300,00 €;nd;nd
RM10K0;39.273,42 €;nd;nd
CND982;38.966,04 €;nd;nd
CS0008;38.966,04 €;nd;nd
CND904;38.857,56 €;nd;nd
CST737;37.022,83 €;nd;nd
11105;36.081,86 €;nd;nd
353435;30.876,03 €;nd;nd
INT851;30.776,13 €;nd;nd
CON831;30.749,01 €;nd;nd
MOR031;30.014,86 €;nd;nd
7788;27.841,62 €;nd;nd
CST717;27.563,99 €;nd;nd
56389;26.735,62 €;nd;nd
56136;26.688,21 €;nd;nd
455211;23.763,98 €;nd;nd
36886;22.464,00 €;nd;nd
MP924;20.446,80 €;nd;nd
MP745;19.625,00 €;nd;nd
MP340;18.910,93 €;nd;nd
7829;18.845,72 €;nd;nd
39101;18.490,22 €;nd;nd
F002951;17.451,98 €;nd;nd
F002955;16.879,66 €;nd;nd
F002900;13.642,98 €;nd;nd
F002881;12.220,63 €;nd;nd
11106;10.239,07 €;nd;nd
MP931;9.929,72 €;nd;nd
F002898;9.329,46 €;nd;nd
F003077;8.975,60 €;nd;nd
F002953;8.535,64 €;nd;nd
452764A;7.372,80 €;nd;nd
F002877;5.578,10 €;nd;nd
454030A;5.028,48;nd;nd
7220;4.673,44 €;nd;nd
7265;4.673,44 €;nd;nd
39524;4.673,44 €;nd;nd
39525;4.673,44 €;nd;nd
42546;4.673,44 €;nd;nd
20772;4.673,44 €;nd;nd
452263A;3.264,00 €;nd;nd
56954;1.164,80 €;nd;nd
RM100R;360,24 €;nd;nd
