Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
37521;4.317.612,86 €;nd;nd
36815;4.291.179,90 €;nd;nd
20814;4.266.760,62 €;nd;nd
7758;4.243.158,12 €;nd;nd
7519;4.230.729,57 €;nd;nd
40133;4.214.018,73 €;nd;nd
24509;4.207.169,05 €;nd;nd
20727;4.194.588,31 €;nd;nd
56550;4.185.230,05 €;nd;nd
36835;4.185.230,05 €;nd;nd
CSE359R1;4.185.230,05 €;nd;nd
20519;4.170.094,40 €;nd;nd
27507;4.159.470,56 €;nd;nd
517;4.153.359,92 €;nd;nd
7782;4.145.346,12 €;nd;nd
7879;4.129.921,90 €;nd;nd
37530;4.126.178,10 €;nd;nd
26513;4.113.726,39 €;nd;nd
7540;4.089.370,82 €;nd;nd
26526;4.087.299,89 €;nd;nd
CS0030;4.084.931,95 €;nd;nd
IND104;4.043.112,08 €;nd;nd
20756;4.020.094,32 €;nd;nd
20525;3.999.724,96 €;nd;nd
30505;3.990.450,09 €;nd;nd
72501;3.984.695,08 €;nd;nd
32552;3.983.312,02 €;nd;nd
32513;3.982.041,36 €;nd;nd
36624;3.933.179,00 €;nd;nd
7529;3.924.410,17 €;nd;nd
56905;3.918.238,36 €;nd;nd
26001;3.904.054,94 €;nd;nd
RS0107;3.884.499,57 €;nd;nd
27548;3.879.561,72 €;nd;nd
51027;3.867.179,61 €;nd;nd
42059;3.862.009,16 €;nd;nd
56287;3.860.447,54 €;nd;nd
32506;3.851.651,06 €;nd;nd
7963;3.839.715,87 €;nd;nd
CSE392R1;3.839.715,87 €;nd;nd
11024;3.822.868,53 €;nd;nd
7701;3.810.875,17 €;nd;nd
524;3.810.375,66 €;nd;nd
INT027;3.808.590,68 €;nd;nd
2700;3.782.659,83 €;nd;nd
21512;3.777.665,22 €;nd;nd
20761;3.772.084,88 €;nd;nd
33526;3.759.445,61 €;nd;nd
INT047;3.750.640,55;nd;nd
11031;3.705.900,66 €;nd;nd
22066;3.703.666,68 €;nd;nd
11516;3.703.198,76 €;nd;nd
27521;3.698.837,46 €;nd;nd
26536;3.696.015,28 €;nd;nd
31509;3.694.087,09 €;nd;nd
42219;3.690.107,88 €;nd;nd
11555;3.686.144,25 €;nd;nd
35520;3.685.063,15 €;nd;nd
36632;3.660.830,60 €;nd;nd
31534;3.631.298,36 €;nd;nd
7213;3.624.771,11 €;nd;nd
56925;3.619.314,52 €;nd;nd
56433;3.617.303,16 €;nd;nd
32507;3.567.115,57 €;nd;nd
37500;3.551.330,88 €;nd;nd
514;3.536.709,93 €;nd;nd
56356;3.533.703,92 €;nd;nd
7752;3.516.433,41 €;nd;nd
7224;3.509.598,33 €;nd;nd
DID820;3.485.126,75 €;nd;nd
7209;3.483.763,98 €;nd;nd
27543;3.482.150,43 €;nd;nd
20804;3.444.793,57 €;nd;nd
32531;3.443.521,46 €;nd;nd
CSE363R1;3.443.521,46 €;nd;nd
40125;3.432.760,96 €;nd;nd
RS0066;3.426.779,24 €;nd;nd
7765;3.408.500,53;nd;nd
31538;3.393.257,29 €;nd;nd
FLT016;3.391.022,96 €;nd;nd
7794;3.383.912,24 €;nd;nd
39523;3.370.737,38 €;nd;nd
26550;3.365.526,12 €;nd;nd
7236;3.363.791,51 €;nd;nd
39522;3.355.923,27 €;nd;nd
20016;3.344.807,21 €;nd;nd
27535;3.343.184,16 €;nd;nd
7801;3.341.142,90 €;nd;nd
7753;3.323.276,08;nd;nd
20534;3.319.754,72 €;nd;nd
22514;3.297.668,02 €;nd;nd
20803;3.289.549,48;nd;nd
CTT980;3.271.569,69 €;nd;nd
39521;3.269.415,77 €;nd;nd
CS0063;3.266.633,64 €;nd;nd
31533;3.255.309,21 €;nd;nd
20540;3.253.967,01 €;nd;nd
7882;3.244.108,74 €;nd;nd
20741;3.241.989,51 €;nd;nd
12518;3.241.838,17 €;nd;nd
7893;3.213.508,99 €;nd;nd
7536;3.200.173,15 €;nd;nd
72032;3.187.846,44 €;nd;nd
43091;3.187.451,09 €;nd;nd
22509;3.185.600,04 €;nd;nd
43058;3.183.694,78 €;nd;nd
RS0097;3.167.181,38 €;nd;nd
72535;3.164.730,33 €;nd;nd
27504;3.164.557,32 €;nd;nd
TRA000;3.156.986,16 €;nd;nd
32039;3.144.401,78 €;nd;nd
RS0073;3.126.142,56 €;nd;nd
IND010;3.121.242,56 €;nd;nd
CSE393R1;3.121.242,56 €;nd;nd
M002150;3.101.555,85 €;nd;nd
RSP033;3.093.827,94 €;nd;nd
12004;3.092.444,48;nd;nd
72541;3.091.111,33 €;nd;nd
22507;3.085.879,43 €;nd;nd
20720;3.065.972,11 €;nd;nd
56469;3.047.287,86 €;nd;nd
36713;3.043.121,49 €;nd;nd
22519;3.032.989,08 €;nd;nd
27547;3.010.131,08 €;nd;nd
526;3.006.281,85 €;nd;nd
32535;3.003.481,90 €;nd;nd
7246;3.001.145,10 €;nd;nd
GIU052;2.982.803,76 €;nd;nd
11007;2.964.721,58 €;nd;nd
7503;2.957.220,39 €;nd;nd
36510;2.956.837,50 €;nd;nd
7769;2.943.865,13 €;nd;nd
20823;2.924.215,84 €;nd;nd
7514;2.917.925,81 €;nd;nd
43175;2.907.923,08 €;nd;nd
42517;2.893.073,65 €;nd;nd
56442;2.872.241,56 €;nd;nd
33554;2.859.990,60 €;nd;nd
CON560;2.842.730,92 €;nd;nd
26503;2.840.631,21 €;nd;nd
36021;2.813.283,46 €;nd;nd
11528;2.801.347,71 €;nd;nd
32505;2.798.045,53 €;nd;nd
1601;2.785.902,54 €;nd;nd
36695;2.764.200,33 €;nd;nd
22517;2.757.064,27 €;nd;nd
22518;2.749.487,13 €;nd;nd
26541;2.745.152,89 €;nd;nd
MP871;2.731.160,94 €;nd;nd
56496;2.727.196,70 €;nd;nd
7843;2.724.826,59 €;nd;nd
